Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
UWMC,6.025,2021/12/15,14:26 EST,-0.7249999,6.59,6.69,6.01,3307876,20201216,10.67,120.0,,0.0,,old GHIV
UWMC,6.025,2021/12/15,14:26 EST,-0.7249999,6.59,6.69,6.01,3307876,20210204,10.35,130.0,,,,
UWMC,6.025,2021/12/15,14:26 EST,-0.7249999,6.59,6.69,6.01,3307876,20210415,7.53,100.0,,,,
UWMC,6.025,2021/12/15,14:26 EST,-0.7249999,6.59,6.69,6.01,3307876,20210810,7.5,267.0,,,,
UWMC,6.025,2021/12/15,14:26 EST,-0.7249999,6.59,6.69,6.01,3307876,20210816,7.09,141.0,,,,
CNQ.TO,50.42,2021/12/15,14:27 EST,-0.33000183,50.61,50.94,49.53,1779040,,27.8,40.0,,,,
CNQ.TO,50.42,2021/12/15,14:27 EST,-0.33000183,50.61,50.94,49.53,1779040,20210108,33.94,30.0,,,,
CNQ.TO,50.42,2021/12/15,14:27 EST,-0.33000183,50.61,50.94,49.53,1779040,20210118,31.08,53.0,,,,
RKT,15.345,2021/12/15,14:26 EST,-0.5749998,16.0,15.99,15.16,2914231,,26.9,74.0,,,,
RKT,15.345,2021/12/15,14:26 EST,-0.5749998,16.0,15.99,15.16,2914231,20201109,20.61,75.0,,,,
RKT,15.345,2021/12/15,14:26 EST,-0.5749998,16.0,15.99,15.16,2914231,20210810,17.8,57.0,,,,
DOC.V,1.13,2021/12/15,14:24 EST,-0.01999998,1.18,1.18,1.11,442921,20210315,2.29,380.0,,,,
DOC.V,1.13,2021/12/15,14:24 EST,-0.01999998,1.18,1.18,1.11,442921,20210420,1.92,525.0,,,,
DOC.V,1.13,2021/12/15,14:24 EST,-0.01999998,1.18,1.18,1.11,442921,20210706,2.22,396.0,,,,
DOC.V,1.13,2021/12/15,14:24 EST,-0.01999998,1.18,1.18,1.11,442921,20210913,1.72,696.0,,,,
DOC.V,1.13,2021/12/15,14:24 EST,-0.01999998,1.18,1.18,1.11,442921,20211215,1.17,725.0,,,,
GGB,5.03,2021/12/15,14:27 EST,-0.089999676,5.12,5.13,4.91,6556955,20210901,5.36,280.0,,,,
CXM,14.82,2021/12/15,14:26 EST,0.17000008,14.5,15.0,14.09,354575,20210901,15.74,70.0,,,,
EDU,2.17,2021/12/15,14:27 EST,-0.029999971,2.17,2.23,2.1,35079886,20210901,2.36,635.0,,,,
HYLN,5.99,2021/12/15,14:27 EST,-0.05000019,6.01,6.09,5.83,2380668,,38.16,60.0,,,,
